City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Bambanglipuro,ID,77.76,overcast clouds,-7.95,110.2833,Puri Brata
178,Ouesso,CG,77.97,light rain,1.6136,16.0517,Hôtel ABENI
179,Cantaura,VE,88.34,broken clouds,9.3057,-64.3584,Hotel Lorenzana
180,Quatre Cocos,MU,81.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
184,East London,ZA,73.4,clear sky,-33.0153,27.9116,Tu Casa
187,Pochutla,MX,90.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
189,Ascension,US,71.6,clear sky,30.2169,-90.9001,Highland Inn
191,Chimbote,PE,77.43,clear sky,-9.0853,-78.5783,Hotel Briliá
192,Cururupu,BR,87.12,scattered clouds,-1.8283,-44.8683,Pousada Través'cia
193,Itupiranga,BR,89.6,broken clouds,-5.1347,-49.3267,Hotel Panorama
195,Moche,PE,71.6,clear sky,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
197,Manono,CD,73.6,moderate rain,-7.3,27.4167,Hotel hewa bora
198,Umm Lajj,SA,71.01,clear sky,25.0213,37.2685,Moon light Furnished Units
202,Arraial Do Cabo,BR,86.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
204,Inhambane,MZ,84.2,few clouds,-23.865,35.3833,Oceano
206,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
216,Birao,CF,79.65,clear sky,10.2849,22.7882,
217,Lufilufi,WS,80.6,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
218,Magaria,NE,74.01,clear sky,12.9983,8.9099,Chez Honorable Chapiou
219,Alice Springs,AU,80.01,few clouds,-23.7,133.8833,Desert Palms Alice Springs
221,Tessalit,ML,72.05,broken clouds,20.1986,1.0114,
227,Kavaratti,IN,81.52,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
231,Makakilo City,US,71.6,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
235,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
237,Tecoanapa,MX,82.2,broken clouds,16.5167,-98.75,Hotel Manglares
240,Kontagora,NG,87.24,few clouds,10.3999,5.4695,City Gate Inn
