City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,Mattawa,46.7379,-119.9028,37.4,87,90,2.93,US,2021-01-27 23:32:58
116,Noyabrsk,63.1994,75.4507,-33.32,81,71,3.31,RU,2021-01-27 23:32:58
117,Kungurtug,50.5994,97.5228,4.17,88,100,1.32,RU,2021-01-27 23:32:58
118,Caravelas,-17.7125,-39.2481,76.08,83,100,5.26,BR,2021-01-27 23:32:58
119,Pevek,69.7008,170.3133,-22.29,88,100,4.09,RU,2021-01-27 23:32:58
120,Fortuna,40.5982,-124.1573,48.0,87,40,17.27,US,2021-01-27 23:28:40
121,Sambava,-14.2667,50.1667,76.15,89,54,3.49,MG,2021-01-27 23:32:59
122,Krasnoselkup,65.7,82.4667,-39.33,82,11,3.58,RU,2021-01-27 23:32:59
123,Wanning,18.8003,110.3967,67.35,85,57,10.42,CN,2021-01-27 23:32:59
124,Dwarka,22.2394,68.9678,65.28,46,0,13.31,IN,2021-01-27 23:32:59
125,Samarai,-10.6167,150.6667,80.13,85,99,7.09,PG,2021-01-27 23:32:59
126,Mar Del Plata,-38.0023,-57.5575,66.99,59,0,9.22,AR,2021-01-27 23:32:59
127,Port Lincoln,-34.7333,135.8667,67.44,76,83,4.25,AU,2021-01-27 23:32:59
128,Faya,18.3851,42.4509,57.2,51,0,4.03,SA,2021-01-27 23:33:00
129,Thompson,55.7435,-97.8558,-14.8,76,20,2.3,CA,2021-01-27 23:33:00
130,Katsuura,35.1333,140.3,46.0,65,75,14.97,JP,2021-01-27 23:33:00
131,Ribeira Grande,38.5167,-28.7,61.47,81,44,21.21,PT,2021-01-27 23:33:00
132,Iberia,29.9502,-91.7507,62.6,42,1,17.27,US,2021-01-27 23:33:00
133,Angoche,-16.2325,39.9086,77.49,87,92,6.26,MZ,2021-01-27 23:33:01
134,Kihei,20.785,-156.4656,80.6,54,40,28.77,US,2021-01-27 23:31:49
135,Atuona,-9.8,-139.0333,78.58,80,3,15.7,PF,2021-01-27 23:28:07
136,Padang,-0.9492,100.3543,71.6,94,40,2.3,ID,2021-01-27 23:33:01
137,Namatanai,-3.6667,152.4333,85.73,67,100,9.1,PG,2021-01-27 23:33:01
138,Esso,55.9333,158.7,4.42,85,22,4.05,RU,2021-01-27 23:29:52
139,Bethel,41.3712,-73.414,30.2,69,90,5.75,US,2021-01-27 23:33:01
140,Vestmannaeyjar,63.4427,-20.2734,34.61,85,85,26.71,IS,2021-01-27 23:29:50
141,Bengkulu,-3.8004,102.2655,76.03,88,100,5.06,ID,2021-01-27 23:33:02
142,Qaanaaq,77.484,-69.3632,-15.23,65,0,9.86,GL,2021-01-27 23:33:02
143,Ankang,32.68,109.0172,39.31,65,92,0.45,CN,2021-01-27 23:33:02
144,Kavaratti,10.5669,72.642,80.55,67,75,11.27,IN,2021-01-27 23:33:02
145,East London,-33.0153,27.9116,69.39,78,80,17.58,ZA,2021-01-27 23:31:00
146,Tacna,-18.0056,-70.2483,71.6,68,0,10.36,PE,2021-01-27 23:33:03
147,Ossora,59.2353,163.0719,0.19,85,94,6.38,RU,2021-01-27 23:33:03
148,Chuy,-33.6971,-53.4616,69.06,86,39,8.7,UY,2021-01-27 23:33:05
149,Oranjestad,12.524,-70.027,78.8,78,40,17.27,AW,2021-01-27 23:33:05
150,Killybegs,54.6333,-8.45,51.01,96,100,8.01,IE,2021-01-27 23:33:05
151,Pyapon,16.2833,95.6833,70.23,66,39,4.74,MM,2021-01-27 23:33:05
152,Codrington,-38.2667,141.9667,73.76,57,60,17.69,AU,2021-01-27 23:33:06
153,Katobu,-4.9408,122.5276,80.91,79,93,6.26,ID,2021-01-27 23:33:06
154,Ponta Do Sol,32.6667,-17.1,60.01,78,86,1.99,PT,2021-01-27 23:29:02
155,Puerto Madryn,-42.7692,-65.0385,62.4,52,80,6.82,AR,2021-01-27 23:30:51
156,Fort Nelson,58.8053,-122.7002,-5.8,65,75,3.44,CA,2021-01-27 23:33:06
157,Lagos,6.5833,3.75,82.4,89,20,5.75,NG,2021-01-27 23:31:05
158,Pangai,-19.8,-174.35,77.0,88,90,5.75,TO,2021-01-27 23:33:06
159,Pedasi,7.5333,-80.0333,81.03,77,77,16.37,PA,2021-01-27 23:33:06
160,Rundu,-17.9333,19.7667,67.08,85,100,4.03,NA,2021-01-27 23:33:06
161,Lagoa,39.05,-27.9833,60.39,83,48,26.37,PT,2021-01-27 23:33:07
162,Vanimo,-2.6741,141.3028,82.62,71,100,6.08,PG,2021-01-27 23:33:07
163,Alta Floresta,-9.8756,-56.0861,80.6,83,40,8.05,BR,2021-01-27 23:33:07
164,Kathu,7.9178,98.3332,84.99,94,20,2.3,TH,2021-01-27 23:33:07
165,Le Port,-20.9373,55.2919,73.4,78,0,5.75,RE,2021-01-27 23:33:08
166,Makueni,-1.8041,37.6203,61.12,80,0,4.61,KE,2021-01-27 23:33:08
167,Sabang,5.8933,95.3214,80.46,78,79,7.52,ID,2021-01-27 23:33:08
168,Kazachka,53.3644,38.0694,34.02,99,100,9.82,RU,2021-01-27 23:33:08
169,Isangel,-19.55,169.2667,84.2,84,90,17.22,VU,2021-01-27 23:33:08
170,Goure,13.9835,10.2704,73.0,12,53,11.01,NE,2021-01-27 23:33:08
171,Makat,47.6469,53.3463,21.88,97,38,20.42,KZ,2021-01-27 23:33:08
