City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Thompson,CA,55.7435,-97.8558,14.0,85,90,2.3,light snow
140,Camacha,PT,33.0833,-16.3333,62.6,77,20,9.22,few clouds
141,Gracac,HR,44.3006,15.8547,44.6,61,20,17.27,few clouds
142,Salalah,OM,17.0151,54.0924,73.4,64,0,3.44,clear sky
143,Vysokogornyy,RU,50.1167,139.15,-24.66,84,85,3.53,overcast clouds
144,Santa Cruz Del Sur,CU,20.7147,-77.9956,82.63,52,17,11.18,moderate rain
145,Carberry,CA,49.8689,-99.3602,21.2,79,90,4.61,overcast clouds
146,Bagdarin,RU,54.4333,113.6,-22.14,79,100,4.88,overcast clouds
147,Bethel,US,41.3712,-73.414,24.01,49,20,3.2,few clouds
148,Dikson,RU,73.5069,80.5464,-27.85,78,35,8.7,scattered clouds
149,Masallatah,LY,32.6167,14.0,58.01,71,100,12.62,overcast clouds
150,Tucuman,AR,-26.8241,-65.2226,69.8,83,90,4.61,overcast clouds
151,Ibb,YE,13.9667,44.1833,62.96,62,6,1.72,clear sky
152,Taltal,CL,-25.4,-70.4833,72.01,58,12,5.68,few clouds
153,Ponta Do Sol,PT,32.6667,-17.1,64.4,77,40,3.44,scattered clouds
154,Roebourne,AU,-20.7833,117.1333,87.15,53,96,16.53,overcast clouds
155,Zhigansk,RU,66.7697,123.3711,-44.93,75,23,3.31,few clouds
156,Yellowknife,CA,62.456,-114.3525,-8.0,84,75,5.75,broken clouds
157,Agadez,NE,19.75,10.25,60.15,27,1,2.77,clear sky
158,Kabare,CD,-2.4683,28.8242,63.84,80,100,2.01,overcast clouds
159,Bonavista,CA,48.6499,-53.1147,32.0,93,100,6.91,light snow
160,Saldanha,ZA,-33.0117,17.9442,66.56,89,28,6.31,scattered clouds
161,Sinazongwe,ZM,-17.2614,27.4618,78.84,81,100,4.76,light rain
162,Ilebo,CD,-4.3167,20.5833,75.34,78,97,1.34,overcast clouds
163,Longyearbyen,SJ,78.2186,15.6401,-4.0,45,20,17.27,few clouds
164,Narsaq,GL,60.9167,-46.05,39.2,30,75,26.46,broken clouds
165,Gorontalo,ID,0.5412,123.0595,75.13,85,100,3.78,overcast clouds
166,De-Kastri,RU,51.4667,140.7833,-15.57,84,0,5.26,clear sky
167,Saskylakh,RU,71.9167,114.0833,-30.82,83,87,8.08,overcast clouds
168,Carnarvon,AU,-24.8667,113.6333,86.0,51,19,18.41,few clouds
169,Geraldton,AU,-28.7667,114.6,71.6,73,0,8.05,clear sky
170,Tete,MZ,-16.1564,33.5867,77.0,100,40,3.44,scattered clouds
171,Ilulissat,GL,69.2167,-51.1,8.6,52,90,21.85,overcast clouds
172,Souillac,MU,-20.5167,57.5167,80.6,78,40,12.66,scattered clouds
173,Horsham,GB,51.064,-0.3272,37.99,100,75,8.05,light rain
174,Hibbing,US,47.4272,-92.9377,33.01,93,90,2.08,light snow
175,Kununurra,AU,-15.7667,128.7333,78.8,87,65,4.61,broken clouds
176,Bambanglipuro,ID,-7.95,110.2833,77.76,84,100,2.3,overcast clouds
177,Kalisz,PL,51.7611,18.091,23.52,95,0,6.4,clear sky
178,Ouesso,CG,1.6136,16.0517,77.97,75,72,2.66,light rain
179,Cantaura,VE,9.3057,-64.3584,88.34,46,51,12.08,broken clouds
180,Quatre Cocos,MU,-20.2078,57.7625,81.0,78,40,12.66,scattered clouds
181,Xianyang,CN,34.3378,108.7026,42.01,64,0,2.24,clear sky
